code,Station,Latitude,Longitude,is_junction
KTCE,KATOGHAN,25.730035,81.165606,FALSE
ASCE,ATHSARAI,25.67872881,81.26203008,FALSE
CRLM,Carmelaram,12.907633,77.706014,FALSE
CNR,CHANDAR,15.264834,74.047794,FALSE
CMDP,Chimidipalli,18.262764,83.076862,FALSE
BDL,VINDHYACHAL,25.1607717,82.5020212,FALSE
TSA,TISUA,28.136577,79.586289,FALSE
TAS,Thasra,22.797769,73.221682,FALSE
GHT,GHAGHARA GHAT,27.1026835,81.5033135,FALSE
BV,BABHNAN,26.938525,82.500127,FALSE
CLW,Chilwariya,27.487001,81.698732,FALSE
GAUR,GAUR,26.913411,82.561158,FALSE
TH,TINICH,26.882281,82.639707,FALSE
BHTR,BHATPAR RANI,26.3104766,84.0331014,FALSE
TUR,TURKI,26.034431,85.354709,FALSE
RD,RAM DAYALU NAGAR,26.097367,85.383596,FALSE
BTO,BHITAURA,28.469954,79.306506,FALSE
PKRA,PARSA KHERA,28.433371,79.341852,FALSE
CHTI,CHANETI,28.30879585,79.42916573,FALSE
BLPU,BILPUR,28.083668,79.625781,FALSE
MK,MIRANPUR KATRA,28.03708,79.674809,FALSE
MILA,MILAKPUR HALT,27.98826137,79.71796183,FALSE
TLH,TILHAR,27.972984,79.741776,FALSE
CQL,CHIRAKKAL,11.911049,75.353696,FALSE
PNQ,PUNKUNNAM,10.535054,76.20943,FALSE
TCR,THRISUR,10.51479,76.207919,FALSE
CMNR,CHAMARAJANAGAR,11.934891,76.932807,FALSE
CMJ,CHAMARAJAPURAM,12.29844,76.637861,FALSE
BKA,BARKHERA,22.917359,77.649646,FALSE
ODG,OBAIDULLA GANJ,22.994912,77.587299,FALSE
ACL,ANCHELI,20.845167,72.944978,FALSE
CVR,CHORVAD ROAD,21.055196,70.290734,FALSE
CTH,CHIKALTHANA,19.859565,75.402851,FALSE
BTKD,BHARATKUND,26.6360965,82.1273931,FALSE
DHW,Dhariwal,31.949113,75.321565,FALSE
SAI,SARAI,25.779962,85.276609,FALSE
CPE,Chandiposi,22.068677,84.915988,FALSE
CRU,CHUDAWA,19.18032826,77.11693034,FALSE
DBB,DHUBRI,26.023137,89.977952,FALSE
PNP,PANIPAT JN,29.388948,76.963793,TRUE
CPS,CHANDPUR SIAU HALT,29.13201,78.275855,FALSE
CX,CHANOL,22.427916,70.538842,FALSE
CSR,CHAK SIKANDAR,25.67672024,85.36524615,FALSE
CRQ,Charpokhari Halt,25.36151577,84.48760319,FALSE
VNA,VARANGAON,21.00971319,75.90065779,FALSE
DAG,DHANG,26.7174,85.353298,FALSE
CRW,Charaud,29.0094584,75.6466632,FALSE
BTL,BORTALAO,21.218301,80.626207,FALSE
KHS,KHARSIA,21.99178,83.102414,FALSE
ROB,ROBERTSON,21.988744,83.182508,FALSE
CPK,CHAPARMUKH JN,26.202272,92.511718,TRUE
CTW,Chhintanwala,30.365958,76.014229,FALSE
CTA,Chitradurg,14.231154,76.386431,FALSE
MDKU,MODUKURU,16.124988,80.583808,FALSE
TSR,TSUNDURU,16.157497,80.586487,FALSE
NBM,NAVABPALEM,16.831606,81.606702,FALSE
NMBR,N MAYURBHANJ ROAD,21.666901,87.038724,FALSE
BTS,BASTA,21.7029241,87.0637831,FALSE
CTD,Chhota Udepur,22.314788,74.014286,FALSE
DBY,Digboi,27.383483,95.616982,FALSE
CWI,CHONDI,19.43061977,77.15566662,FALSE
CSDR,CHANNASANDRA,13.01094072,77.66297057,FALSE
PGT,PALAKKAD,10.802091,76.641926,FALSE
MNHA,Mindha,27.112061,75.33241,FALSE
DBO,DABHODA,23.168331,72.748038,FALSE
DABN,DHABAN,29.859997,74.54288,FALSE
DBI,DABLI RATHAN,29.542416,74.19093,FALSE
SID,SIDDHPUR,23.918067,72.367959,FALSE
ARGD,ARIGADA,23.643461,85.466475,FALSE
CTJ,CHHATAINI,23.994088,81.287323,FALSE
KTKD,KATANGI KHURD,23.77586961,80.48673398,FALSE
CRL,Choral,22.450677,75.944135,FALSE
ABSA,Ambassa,23.930507,91.860783,FALSE
NVP,Navalpura,23.289155,73.199554,FALSE
DBKA,Dabka,21.361353,76.720809,FALSE
CQR,Champapukur,22.656634,88.80796,FALSE
NDAZ,NAYA AZADPUR,28.714564,77.166876,FALSE
ANDI,ADARSH NAGAR DELHI,28.714205,77.166707,FALSE
CUR,Churu,28.288281,74.966203,FALSE
BHD,BADLI,28.7468,77.1377425,FALSE
KHKN,KHERA KALAN,28.769718,77.115838,FALSE
HUK,HOLAMBI KALAN,28.801187,77.102334,FALSE
NUR,NARELA,28.846886,77.085727,FALSE
CWA,Chhindwara Junction,22.058201,78.953212,TRUE
RDDE,RATHDHANA,28.904132,77.059148,FALSE
CTPE,Chandanattop Halt,8.932478,76.64532,FALSE
HNN,HARANA KALAN,28.945425,77.039135,FALSE
SNP,SONIPAT,28.989423,77.017343,FALSE
SLKN,SANDAL KALAN,29.063432,77.012589,FALSE
RUG,RAJLU GARHI,29.090744,77.012109,FALSE
GNU,GANAUR,29.130776,77.01075,FALSE
BDMJ,BHODWAL MAJRI,29.1852092,77.0082364,FALSE
SMK,SAMALKHA,29.240172,77.003034,FALSE
DWNA,DIWANA,29.318564,76.980194,FALSE
BBDE,BABARPUR,29.449652,76.966178,FALSE
KFU,KOHAND,29.494782,76.968758,FALSE
GRA,GHARAUNDA,29.541636,76.96575,FALSE
BZJT,BAZIDA JATAN,29.613391,76.965812,FALSE
KUN,KARNAL,29.694566,76.969821,FALSE
BZK,BHAINI KHURD,29.751544,76.955362,FALSE
TRR,TARAORI,29.797906,76.93858,FALSE
NLKR,NILOKHERI,29.831492,76.925491,FALSE
KKDE,KURUKSHETRA JN,29.96944,76.852795,TRUE
DAVM,DHANUVACHAPURAM,8.378802,77.124352,FALSE
CTS,CHATTRIPUT,18.922722,82.590027,FALSE
DAVJ,D.A.V.C.H. JALANDHAR,31.346977,75.56132,FALSE
DLPI,INDRAPURI,28.62834247,77.14358826,FALSE
GRG,Guwarighat,23.110295,79.927613,FALSE
DSJ,DELHI SAFDARJUNG,28.582121,77.186969,FALSE
DHRN,DHURANA,29.253606,76.803295,FALSE
DUK,DUDIA,25.934458,72.902042,FALSE
DAJ,DUROJI,15.227107,76.70013,FALSE
BTPH,CHAKIA THERMAL HALT,25.40126394,86.01624276,FALSE
JDDA,JATHA,22.01598039,82.8753337,FALSE
JDI,JHARRADIH,21.999876,83.050747,FALSE
DKO,Devakottai Road,10.037611,78.761747,FALSE
DIB,DIBAI,28.19378,78.303084,FALSE
CNJO,JUHI OUTER CABIN,26.45319019,80.32390984,FALSE
LMA,LAMBIYA,25.578334,74.585615,FALSE
DOHM,Devgarh Madriya,25.610206,73.855552,FALSE
DYE,DAYANAND NAGAR,17.456247,78.53135,FALSE
DBV,DABILPUR,17.674226,78.470315,FALSE
BGZ,BAHADURGARH,28.700863,76.930886,FALSE
DME,DAMNAGAR,21.688346,71.509053,FALSE
AG,Aranghata,23.242037,88.613551,FALSE
RLG,RELANGI,16.709921,81.64411,FALSE
CCAB,BMY C CABIN,21.209789,81.443063,FALSE
DNDI,DHONDI,19.106268,76.736112,FALSE
NDO,NIDUBROLU,16.067904,80.557243,FALSE
FKA,Fazilka,30.408641,74.025417,FALSE
TDD,TADEPALLIGUDEM,16.809961,81.526314,FALSE
PTPU,PRATTIAPADU,16.820865,81.581431,FALSE
BDHT,Bardi Halt,21.621177,78.822411,FALSE
DJL,Dodajala Lake,13.183156,77.652122,FALSE
DIU,Dhing,26.453101,92.450865,FALSE
DGQ,Dugdol,24.631708,72.096828,FALSE
DAU,Dagru,30.834858,75.047442,FALSE
GWH,GHOSHAWAR,25.73742114,85.24335074,FALSE
HJP,HAJIPUR JN,25.702909,85.2155,TRUE
PUK,PUDUKAD,10.420507,76.260707,FALSE
NYI,NELLAYI,10.392415,76.275994,FALSE
UKL,UTTUKULI,11.156494,77.448615,FALSE
TUP,TIRUPPUR,11.108906,77.341247,FALSE
SNO,SOMANUR,11.087247,77.18638,FALSE
SUU,SULUR ROAD,11.049634,77.11729,FALSE
IGU,IRUGUR,11.017199,77.069134,FALSE
SHI,SINGANALLUR,11.012921,77.039459,FALSE
PLMD,PILAMEDU,11.033241,76.999566,FALSE
CBE,COIMBATORE JN,10.997639,76.966298,TRUE
PTJ,PODANUR JN,10.965425,76.990125,TRUE
MDKI,MADUKARAI,10.900858,76.94295,FALSE
IJK,IRINJALAKUDA,10.339456,76.280924,FALSE
CKI,CHALAKUDI,10.3017975,76.3218076,FALSE
DINR,DIVINE NAGAR,10.28539937,76.33631436,FALSE
KRAN,KORATTI ANGADI,10.260123,76.355901,FALSE
KUC,KARUKKUTTY,10.225757,76.373077,FALSE
AFK,ANGAMALI,10.183676,76.37786,FALSE
CWR,CHOVVARA,10.133064,76.372189,FALSE
DJ,Darjeeling,27.038151,88.263326,FALSE
AWY,ALUVA,10.108163,76.356508,FALSE
KLMR,KALAMASSERY,10.061818,76.326956,FALSE
IPL,EDAPPALLY,10.034338,76.298271,FALSE
ERN,ERNAKULAM TOWN,9.991582,76.2861,FALSE
ETMD,ETTIMADAI,10.898788,76.897155,FALSE
WRA,WALAYAR,10.84718103,76.83761351,FALSE
DBN,Dhablan,30.33791332,76.27691787,FALSE
DBF,Dabpal,18.92798,81.488923,FALSE
DBZ,Dhing Bazar,26.455873,92.481039,FALSE
CLMD,CHULLIMADA,10.837165,76.801793,FALSE
KTKU,KOTTEKAD,10.815731,76.693457,FALSE
DLC,DALMERA,28.417832,73.65658,FALSE
TNU,TIRUNETTUR,9.933729,76.307657,FALSE
KUMM,KUMBALAM,9.906723,76.3116,FALSE
AROR,AROOR HALT,9.8791031,76.302833,FALSE
EZP,EZHUPPUNNA,9.820288,76.302391,FALSE
TUVR,TURAVUR,9.772809,76.309979,FALSE
ERSC,ERNAKULAM JN. C,9.97806,76.289859,TRUE
DIR,DHANAPUR ORISSA,18.945173,82.507393,FALSE
DRN,DEORANIAN,28.64478,79.476473,FALSE
BGS,BEGU SARAI,25.425296,86.134476,FALSE
BQQ,BAKHLETA,23.846381,79.96972,FALSE
GBP,GULABPURA,25.90279519,74.6559545,FALSE
REI,RITHI,23.904168,80.140267,FALSE
MBWC,MORADABAD WEST,28.83865785,78.75963388,FALSE
HRH,HARTHALA,28.87198721,78.73559543,FALSE
GOA,GOHAD ROAD,26.480421,78.439153,FALSE
DHNR,DHANORA DECCAN,19.46551744,78.13275403,FALSE
ALD,ALLAHABAD JN,25.446241,81.828816,TRUE
ETAH,Etah,27.571173,78.653919,FALSE
GG,GANDHIGRAM,23.02676,72.568831,FALSE
BSL,BHUSAVAL JN,21.0472812,75.7886717,TRUE
KOPR,KOPAR ROAD,19.211345,73.077841,FALSE
GGLE,GANGATIKURI,23.71822,88.087286,FALSE
KWD,KARWANDIA,24.953195,84.084599,FALSE
GDD,Gadra Road,25.743851,70.64304,FALSE
